"","x"
"371","BRD.A42270467.001.04.4..2.5..HTS"
"372","BRD.A42553870.001.14.3..2.5..HTS"
"373","BRD.A42571354.300.12.0..2.5..HTS"
"374","BRD.A42628519.001.12.4..2.5..HTS"
"375","BRD.A42699921.001.02.8..2.5..HTS"
"376","BRD.A42699921.001.03.6..2.6..HTS"
"377","BRD.A42746051.001.02.9..2.5..HTS"
"378","BRD.A42759514.001.20.5..2.5..HTS"
"379","BRD.A43082461.001.06.3..2.5..HTS"
"380","BRD.A43082555.001.01.1..2.5..HTS"
"381","BRD.A43082555.001.02.9..2.5..HTS"
"382","BRD.A43435802.001.02.0..2.5..HTS"
"383","BRD.A43598550.001.09.4..2.5..HTS"
"384","BRD.A43671941.003.11.9..2.5..HTS"
"385","BRD.A43809092.003.02.1..2.5..HTS"
"386","BRD.A43882281.001.15.5..2.5..HTS"
"387","BRD.A43885598.001.08.1..2.5..HTS"
"388","BRD.A43930669.003.02.8..2.5..HTS"
"389","BRD.A43999749.004.04.1..2.5..HTS"
"390","BRD.A44008656.036.25.8..2.5..HTS"
"391","BRD.A44090213.001.25.6..2.5..HTS"
"392","BRD.A44133049.003.07.8..2.5..HTS"
"393","BRD.A44448661.001.04.8..2.5..HTS"
"394","BRD.A44500574.001.01.8..2.5..HTS"
"395","BRD.A44696962.001.01.4..2.5..HTS"
"396","BRD.A44863528.001.13.2..2.5..HTS"
"397","BRD.A44936478.001.01.1..2.5..HTS"
"398","BRD.A45044890.236.02.3..2.5..HTS"
"399","BRD.A45107007.001.03.4..2.5..HTS"
"400","BRD.A45153512.001.01.0..2.5..HTS"
"401","BRD.A45498368.001.07.1..2.5..HTS"
"402","BRD.A45543382.001.10.0..2.5..HTS"
"403","BRD.A45869167.001.10.0..2.5..HTS"
"404","BRD.A45889380.300.07.1..2.5..HTS"
"405","BRD.A45906415.001.01.9..2.5..HTS"
"406","BRD.A46066006.004.22.6..2.5..HTS"
"407","BRD.A46179541.311.02.0..2.5..HTS"
"408","BRD.A46186775.369.02.0..2.5..HTS"
"409","BRD.A46393198.003.16.6..2.5..HTS"
"410","BRD.A46717658.236.02.5..2.5..HTS"
"411","BRD.A46813902.001.01.6..2.5..HTS"
"412","BRD.A46876182.003.02.8..2.5..HTS"
"413","BRD.A47342814.003.01.8..2.5..HTS"
"414","BRD.A47364545.003.02.6..2.5..HTS"
"415","BRD.A47449001.004.13.7..2.5..HTS"
"416","BRD.A47494775.003.11.3..2.5..HTS"
"417","BRD.A47598013.004.16.0..2.5..HTS"
"418","BRD.A47706533.001.02.6..2.5..HTS"
"419","BRD.A47790386.001.03.6..2.61..HTS"
"420","BRD.A47884604.051.01.2..2.5..HTS"
"421","BRD.A47953250.001.01.7..2.5..HTS"
"422","BRD.A48015106.004.08.9..2.5..HTS"
"423","BRD.A48180038.003.24.3..2.5..HTS"
"424","BRD.A48237631.001.04.8..2.5..HTS"
