"","Primary","Secondary","IM_101_Cut","BL1_Corr","BL2_Corr","M_Corr","LAR_Corr","MSL_Corr","IM_101_Corr","BL1_Cut","BL2_Cut","M_Cut","LAR_Cut","MSL_Cut"
"ACH.002458","ND","ND","0","-0.0483995603008239","-0.324386978809547","-0.156321764020853","0.191301792535998","0.113091934132193","0.116835907314896","0","0","0","0","0"
"ACH.001378","BL2","ND","0","-0.294979375496566","0.245524101827364","0.11988332734733","0.0771541450354263","0.102687171450028","-0.246830138984121","0","1","0","0","0"
"ACH.001029","BL2","ND","0","-0.0810722565056976","0.267226085915478","-0.0302021092500082","-0.0604804040008272","-0.113614348994896","-0.0499668048889324","0","1","0","0","0"
"ACH.000248","BL2","ND","0","-0.147310107639229","0.447219773402553","-0.264135131311152","0.0743679324343444","-0.183770311598698","0.13337904463382","0","1","0","0","0"
"ACH.000943","ND","ND","0","-0.199725732197081","0.159107976621935","0.0645508864727202","0.138124312970037","0.0950903886548906","-0.0736278447121821","0","0","0","0","0"
"ACH.000751","ND","ND","0","-0.014464361511085","0.0897356363121864","-0.00725938986297494","0.0683166269413698","-0.159129743907881","-0.125063941402466","0","0","0","0","0"
"ACH.001696","BL2","ND","0","-0.0602844984273136","0.252968513620879","0.0294184869559539","0.00303653638946028","-0.218924478401411","-0.144981008043012","0","1","0","0","0"
"ACH.001016","ND","ND","0","-0.00738999357865065","0.0744550015781282","0.0398885514959567","0.0744767688640742","0.0214516602997355","-0.0719299964083978","0","0","0","0","0"
"ACH.000282","ND","ND","0","0.084946833404077","-0.347286163624689","0.14939976709004","-0.0424135566656871","0.00490852298081214","-0.112003569834895","0","0","0","0","0"
"ACH.000261","ND","ND","0","0.0574547512543399","0.00971909317486749","-0.0394749730629836","-0.0219523078764924","0.134140899641928","0.0799838922084","0","0","0","0","0"
"ACH.000164","ND","ND","0","-0.0277859405100075","0.0770453086056965","-0.128481405295981","0.101860014584082","0.056018110381907","0.0798532884927243","0","0","0","0","0"
"ACH.001793","ND","ND","0","0.0559310412381232","-0.24521935982412","-0.0346861701548742","0.0922606414819168","0.18951687508843","-0.0332930638543333","0","0","0","0","0"
"ACH.000262","ND","ND","0","0.09805073954354","-0.20312142880465","-0.0359922073116314","0.055125651658123","-0.0372764771824425","-0.0102415080375703","0","0","0","0","0"
"ACH.000158","ND","ND","0","0.0746726744375878","-0.180135174845724","-0.171624166040857","0.105603987766785","-0.0268934817862235","0.156670040595988","0","0","0","0","0"
"ACH.000773","M","ND","0","0.16779312371437","-0.108499036797597","0.208432646575462","-0.20370914552519","0.0195361391364918","-0.0797226847770486","0","0","1","0","0"
"ACH.000722","LAR","ND","0","-0.18128884100086","0.0450691655510933","-0.357516788019286","0.482047430916076","-0.0999009588489459","0.0903451203186731","0","0","0","1","0"
